first_name,last_name,email,company,title,phone,location,linkedin_url,website,industry,company_size,department
John,Smith,john.smith@techcorp.com,TechCorp,Senior Developer,+1-555-0123,San Francisco CA,https://linkedin.com/in/johnsmith,https://techcorp.com,Technology,100-500,Engineering
Sarah,Johnson,sarah.j@innovate.io,Innovate Labs,Product Manager,+1-555-0124,New York NY,https://linkedin.com/in/sarahj,https://innovate.io,Software,50-200,Product
Michael,Brown,mike@designstudio.com,Design Studio,Creative Director,+1-555-0125,Los Angeles CA,https://linkedin.com/in/mikebrown,https://designstudio.com,Design,10-50,Creative
,Williams,emma.w@company.com,Marketing Pro,Marketing Manager,+1-555-0126,Chicago IL,https://linkedin.com/in/emmaw,https://marketingpro.com,Marketing,20-100,Marketing
David,Chen,invalid-email,Tech Solutions,Software Engineer,+1-555-0127,Seattle WA,not-a-valid-url,https://techsolutions.com,Technology,500-1000,Engineering
Lisa,Garcia,lisa.garcia@saas.com,SaaS Corp,Sales Director,+1-555-0128,Austin TX,https://linkedin.com/in/lisag,https://saascorp.com,SaaS,200-500,Sales
James,Miller,,Cloud Systems,DevOps Lead,+1-555-0129,Portland OR,https://linkedin.com/in/jamesm,https://cloudsys.com,Cloud Computing,100-250,Operations
Rachel,Taylor,rachel.t@ai.com,AI Solutions,Data Scientist,+1-555-0130,Boston MA,https://linkedin.com/in/rachelt,https://aisolutions.com,Artificial Intelligence,50-200,Research
Alex,Anderson,alex.a@fintech.com,FinTech Plus,Financial Analyst,+1-555-0131,Miami FL,https://linkedin.com/in/alexa,https://fintechplus.com,Finance,100-500,Finance
Emma,Martinez,emma.m@healthcare.com,Health Tech,Product Owner,+1-555-0132,Houston TX,https://linkedin.com/in/emmam,https://healthtech.com,Healthcare,200-1000,Product 
